File Length,C# character-level grammar parse time (seconds),C# character-level grammar reachable SPPF node count,C# character-level grammar full SPPF node count,C# character-level grammar reachable SPPF edge count,C# character-level grammar full SPPF edge count,C# character-level grammar reachable non-token SPPF node count,C# character-level grammar full non-token SPPF node count,C# character-level grammar reachable non-token SPPF edge count,C# character-level grammar full SPPF non-token edge count,C# character-level grammar ambiguity node count,C# character-level grammar GSS node count,C# character-level grammar GSS edge count,C# character-level grammar descriptor count,C# w/o lexical disambiguation output triple set size,C# w/o lexical disambiguation output no. of tokenisations,C# w/o lexical disambiguation lex time (seconds),C# w/o lexical disambiguation parse time (seconds),C# w/o lexical disambiguation total time (seconds),C# w/o lexical disambiguation reachable SPPF node count,C# w/o lexical disambiguation full SPPF node count,C# w/o lexical disambiguation reachable SPPF edge count,C# w/o lexical disambiguation full SPPF edge count,C# w/o lexical disambiguation ambiguity node count,C# w/o lexical disambiguation GSS node count,C# w/o lexical disambiguation GSS edge count,C# w/o lexical disambiguation descriptor count,C# with full lexical disambiguation output triple set size,C# with full lexical disambiguation output no. of tokenisations,C# with full lexical disambiguation lex time (seconds),C# with full lexical disambiguation parse time (seconds),C# with full lexical disambiguation total time (seconds),C# with full lexical disambiguation reachable SPPF node count,C# with full lexical disambiguation full SPPF node count,C# with full lexical disambiguation reachable SPPF edge count,C# with full lexical disambiguation full SPPF edge count,C# with full lexical disambiguation ambiguity node count,C# with full lexical disambiguation GSS node count,C# with full lexical disambiguation GSS edge count,C# with full lexical disambiguation descriptor count
31570,8.539461028,245925,1142347,253424,1433302,92749,857498,96382,1029554,49908,988511,2006645,4174847,160371,17179781843647282872115094919515240609451052380111746987818333161202996311639333176051414234067684491035907721876190782392394293475011673052062432579799528353861122318045077869277947311784709600837973068411908317975378427647795409990942004654533252532551250432591616550425572886595497700612458391399166673583536305490092372729083088705569308699979459485468752162335694197967628703175867944664469855698439554561940992794490264880163111245600446648550360595661122345812565558310192013741288557394125389632012703668436772404588701400589148571938324267889701588040256856943172882527196987240897942052558463019529506358462170651125694147605333799227803999626877110097250224216708622628819685679819506996496748652167112629613977346189775449651308375512230613252778806417845536525939755544148218251164313588276544587459632228735383972190947156790885885823428513650152114777388820155631727587115006352990952921041202547281667411579953773933176024998031609636770250818855028543771398037856945796929761657235307057568376821578256847960382518031637295837850282670915882057849630705287297758187194325238998396647146550686709979668731154014574116317243240917016798099826601866643861119012296600375181907980752096275134275831737781302880883241320357959641061622142286297797106390456106379073861008662467694345063393114429381913032746189197585522439635561005211253057739553556571202483980876837808338704816034543792597096815619916843809057949287921527376297967735933945267515853452644923091461947428426293930740558186911536580515977677432244379463306543766252425548338165191222586213290532238641495420695827671537680791356197247325162056649040424788802801665819853662096649622560467467212397324870394161484048296115177318488466453155569476938483623737914886531025897816152561517041900591520949289950818041950523862150567949364676859882487899925420843775161454887696000917413065820812312162741064071996739849416735397886532624978616215662360302842173435518868007090229498357617724208955133155739369112368027549565324611459146166810463219076987534446133774375651399159099060855553938176993161735197454893628382398330768937216016787467273523406416650197196091741517348830003771785095855815153547836684981506129102324516024659533945267116816047114576227311664402580815549570108034586724226712212055214356410619307330303077235472898241888966298975841942991683067938650343517414845548144827521300704014719449125675423991816947036925839508908726203463975935737568471759908871729286711076299633005000881156767070880259892983197210821892213856237825411973577972133311657983990846343780440642226801929932200895660482728400917052769668275677991710469868341200997405051032823077821665096205931283675509566693930440883834212238501860870664083257937882597772788403342530000338209003791947217433333907196182043766068654999504852285404344266211933876095370483065550625034386924834229122083723294647211883500209813933155176730005898779427577798290459023475933771212630717029902074476277403098092134712518473473370563772510753493101199104358572507900785831994865711447047688890410991539351781851814750112401341755020013314120403132987838227178990700305219662286063107475926446186288097676069187652752516057685169456675465528945644260593974682256413522913268528130604273186164468195628631400092951207830109657253434668831474417509884372739630399695026518675811698740952280972244282551524760472335182158174341412230509503296245349632884352428783033262385087347975558692118061881557366425127301950031050999214391015652064368266850613348282373492751083991898469930799066694348636278413694318052155437534116957542785250852684743352225271554878295438743744914037723528885042814879780911251247194094399928916816821174938353235564349016511292067974733916071380678301108351188520588188602257559839935937922426181324934648146361804061208934903925213873707765716512556023933576121901578970209449626706553621786677942143738620812073166098712375989006143065440883696010769353935714379603520778346207745055999940672893840043982535016349634165453083608422380127903433940269356947926741612894883292834001768343617704216245978687817316925058245569027798765394826785111725068521307880271335584269106937125850912661567230421494258088943214161145529958292410653053634069078271741042095079560229309608019032319040466977607034312127507817521919724193605920073141843201351975235871383803980709420736249869816539770113951603515006616448111833695730187337534732167208376058476744121804108790664721330497603891993998357781592016011319791956694235343304096065695529506167294423592441637049203434851614602127193564656394998942963713336896370230449473749214445733094611407531339296055047665364632417907196232406782599226645392657538012825692717594567731994583019705168974104643214451373652225115469542294438681755579445807150390800080109683666410449805502782591993368038031158540897515143559720370958157649587994124743637576177784402894363436516055525896464473514102479021254179396476201070150755160752534223076435518260011511386677208641628684906172420528348292018635119001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.8616432690000001,5.808970879,6.670614148,92749,580624,96382,692828,41447,276252,604358,1851890,7063,1,1.3992386170000002,2.7537761570000003,4.153014774,81711,121209,83160,135640,1390,164953,397854,709135
25103,6.876191294000001,183624,1012233,190422,1311087,60825,759106,64169,941835,48231,701514,1466862,3257478,170682,170237688819780652310671522034841329381226946885278809854391392254571748433100071392024400327359326450166234445502131949864150380383135769744463813063406515062021291438571928337497104315857778225066659652491190339782372651960924977372151308387558350612901346330623779013432289366014580510989715929304781993511522528192118458353222204485952755123135114920041812239633298510154254801144848199427715892010289513166230977978958793539238890000046468732351151147488816206417282077184990044547491124631134272006205868770144059280629993780973410613086561910718301826034900279835781782882628723676795384556951867804452579373526114494022327212393856537839087776997324261103267355601220847740501999955892444871031626066915275415472283975418959597629662347596779109252689696956797272236323017508423078886942605856086939753310713014936125588799881381609146140066710219499137237357445689738565282323335143077944441416737944369507292242604620314551796312040702451526135172968182316850393784981247179693200967910322037974194764289456592166839753744156970129976979633905038564210202117741840877335192990282539373150799991845023270200767254866876989687650765976425799263675358148918982821333910035241029849976040788635144405227653445598572429380383557957677429264979354081594573630128612106589412094354923327029697482580712025477478018834638150496983542951453645392741990318892145072841421427914311390435424553622805817337889700093835158107054940385725926036828243732862284425628238917580945651601337177776942010806903254744102538419695121880349137256177296361947770907909626677842013537380965980243802218152810370107321026582344032345107230151175738055317282617107093436557920108634885038022860859098679511767454202230592904433618695119941065600375889076954654247642458328180377600668779373945741332444112981011578624779867974619588838556094122377856002064568996823886853632143931315929107204267500088206040442061468263471354979170352161260712841780636904545350246902221132882928983495302299899500887614355744544962089139367730386822265177242077743829566352761437611663443343393341964588023021831707654286781954461566785408970152530399747296700560835754305568692344250454858785096016730163679551977032508050615276187788521866321875406297584800362135165236779223632872333140578798365298546075308929237593860964556800922544613861686347474750581680271115708365665855577582065311611603791323793313312069502789140331869084057626346549525236565614150341928050394316680928953092794106991220518159649577712710544634885942527372699420872838608761428980690685538836410992506326694109619786237852206911665359928172336709999641297858454931380380082870169114509699139376728235373774811983371954281808709935178030935358189810294915596494131607937672098036015104310370417777160895450674927213660764378872921309930480953211110517670566241534377101845514204392000320821990980026372281112113776588290458551444551683564444482895267451878203643380851010662930833505155404301387017991043410692376772306499088891182039393614416288760116663468540809259019960556125910749277107962841808931784442667300891830082575624394135469393573985632758756853953153913427835642428256890397007623425519334440081043484108537420812108900929243517829929447711546918745778456756075425650599678875750395532506228594583190996517771912469076267881068515063889950217125118990556004433971572436118606041770473130950986589106316647223518152778963505142250924976030987700861040010798350990499913140343038926149965001321234463303239677923762197672228948173990752121712429056820139124998024724506719025383676968489841100191686737536724598173511058323265373362999346719382938837295202344595621590580613010602641828149810505730689453184911824725714648079624724325153909877534957637438105209153616309440831651573909027264102827877483189224984594732126413298591936085980389667387275129805682979656574151479326938850314427175024677120483829633297206427079051732028720782884739981491932047310734502652682981613426181311911122527979515940112075704665512002410675929523132689359822171068731534680269632273736025802471615360219201318469586457837747740773383408044669151141636357596769116933596386431208629419794818513988689013259187000371113454882755701286575826259459276071935542495315556348754225767625369149072017058677322279116985636763791958171511121989520140130801792668327115537930383084010855433389233107791673238821951358411055031691421522093801540219836019404536598672094461171865512024194713908725909028248170166790124180541672836795297993608231923567653752024070035554410373024835125506124196353916631152554585612839737477996867086657130952952407569869642313356425985350882511674791011573168066126084542538624089729269760000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.9803567110000001,3.5164024630000004,4.496759174,60825,509622,64169,612889,39172,200386,430525,1458384,4634,1,1.437541817,2.565074484,4.002616301000001,51694,78841,53301,89932,1294,108489,260400,444640
642,0.32434500400000005,4379,25107,4452,32253,1418,18575,1479,22708,1215,19068,38872,81931,2950,21399151956258801950409866529197883775373949233838269353980092537833006668374821547295682254966029856742047744000,0.046488435,0.13535439300000002,0.181842828,1418,12453,1479,15065,1027,4813,10373,33952,122,1,0.081149998,0.065794066,0.146944064,1395,2125,1451,2439,57,2672,6461,11412
2378,1.067624155,18874,73952,19257,92685,7927,57577,8158,71483,2789,95454,195455,353563,7423,1756479848622588315322413330146840742320366789543075916318112697996351835683770255516984460236458355930372601586019547977384654946224870567542053112295653301024334069332918732429139072850227599826600877219388088007939592164583268190875426678877538465800455072854313593262818887516347526245026919646485255327842430319087595703538240650144716840037024647335641088000000000,0.09177706000000001,0.355249768,0.44702682800000004,7927,37915,8158,45033,2045,26399,58099,150180,657,1,0.142413805,0.171894808,0.314308613,7459,11880,7590,13539,96,17894,42307,73176
240,0.058612077000000005,1668,7717,1711,9774,513,5739,534,7090,347,7932,16600,30739,690,853816154152086542900295122535265075200,0.02264824,0.104373636,0.127021876,513,3968,534,4738,277,1851,3873,12418,51,1,0.035925040000000005,0.068538628,0.10446366800000001,434,677,440,757,6,982,2265,4099
962,0.407505037,7751,32880,8035,41555,3205,25468,3379,31551,1316,30864,63347,127657,3566,15004523461945317008805202178035772281448959982109636819373658236411571882923124627611764655207788150273121840432016219274400561437902826534730984135312395629425065984000000,0.06103734,0.270717741,0.331755081,3205,17035,3379,20477,1025,9074,19908,56329,223,1,0.112478016,0.11294144800000001,0.225419464,2539,3852,2578,4411,10,5443,13239,23265
450,0.313984716,3261,16556,3319,21018,1309,12853,1348,15838,716,18045,37454,70210,1478,3357537068353309217233895996168782000068540640769207520102393155039954731008000,0.042435754000000006,0.133992253,0.176428007,1309,8596,1348,10241,590,4498,10007,29381,117,1,0.070395883,0.088432918,0.15882880100000002,1240,1862,1264,2126,25,2780,6840,11760
1761,0.512167043,13868,57494,14121,71304,5314,42026,5452,49862,2625,53350,103947,206312,4956,22262088584801893773551542171937319330098114518488094094067321078700491744122557222569357301396723750221093508105635284022892732937134330514350845403616503649620130051643039441495197696977223463373230649321161276407703579954093023174485575415636916227276800000000,0.074203079,0.201918742,0.276121821,5314,28042,5452,33642,2315,13415,29770,84953,443,1,0.116881784,0.11837393500000001,0.235255719,4946,7446,5004,8273,97,8999,21745,40233
1239,0.570698392,10246,35205,10471,42898,4683,26506,4787,31335,1438,48585,92582,169876,3768,399075258229974874961417737013901234638760364281326566364252315945082403709324283081462488612960471813045055087885554810922402408821334695819061916316150776525435699200000000000000,0.071535707,0.18258400500000002,0.254119712,4683,17735,4787,20820,1203,11220,25067,65770,398,1,0.10156696100000001,0.169463262,0.271030223,4292,5669,4311,6072,55,7435,17923,34136
2378,1.14997221,18874,73952,19257,92685,7927,57577,8158,71483,2789,95454,195455,353563,7423,1756479848622588315322413330146840742320366789543075916318112697996351835683770255516984460236458355930372601586019547977384654946224870567542053112295653301024334069332918732429139072850227599826600877219388088007939592164583268190875426678877538465800455072854313593262818887516347526245026919646485255327842430319087595703538240650144716840037024647335641088000000000,0.097147931,0.45093905900000003,0.54808699,7927,37915,8158,45033,2045,26399,58099,150180,657,1,0.148055597,0.23146016800000002,0.379515765,7459,11880,7590,13539,96,17894,42307,73176
1015,0.419759184,7212,34524,7431,43453,2384,26197,2526,31932,1554,27119,56491,120622,6595,611938137838580087461337065259112017023160615300290152419850683241072488960779752354326488727266870113981178902369340451787529071250505585380393265038105328975021170926051865500573351956510146560000,0.09110140400000001,0.269134025,0.360235429,2384,17708,2526,21157,1306,7444,15841,52168,183,1,0.184560619,0.089601949,0.274162568,1981,3039,2052,3492,50,4052,9476,16554
163,0.097932849,1314,6724,1348,8538,692,5392,706,6711,346,10527,20516,35721,317,265969196663549829120,0.019318651000000003,0.09954201900000001,0.11886067,692,3549,706,4217,259,2205,4707,12412,57,1,0.028890507000000003,0.050399837,0.079290344,623,876,622,948,5,1104,2712,4858
875,0.385997068,8149,30129,8663,36638,2911,20814,3165,23318,1557,17787,33082,74844,2245,1001313062484707106459892477205222363552233059575720749524700138086433094149275601099257007793068123641978304560149647323876556800,0.056176655000000006,0.12383078300000001,0.18000743800000002,2911,13819,3165,16625,1495,3765,7551,28991,201,1,0.086504337,0.06889296,0.15539729700000002,1749,3084,1758,3358,80,2475,5263,11734
1191,0.35176729300000004,11783,45696,12698,55806,4181,31349,4579,34718,2385,22009,40938,99708,3315,26700957290055959896386025361254406135354203191534639554811280383102874278463284936992879324556205056097927763250126391887264397787222062737019049912143745563231149793127222476800,0.062424615,0.19115161700000002,0.253576232,4181,20569,4579,24841,2318,5040,10113,41018,263,1,0.10898740800000001,0.112807579,0.22179498700000003,2341,4318,2350,4700,110,3271,7008,16025
312,0.18503779,3698,12513,4092,15802,2020,9835,2239,12051,655,14424,29069,54765,771,614261325923247533674589867338146208694874931200000,0.028385826000000003,0.113568837,0.141954663,2020,6870,2239,8362,547,3524,7669,21326,92,4,0.04008665,0.07867048800000001,0.11875713800000001,965,1350,979,1474,16,2007,4887,8095
290,0.20447635900000002,2808,11442,2997,14393,1395,9010,1490,11059,589,13577,26756,50348,722,279690639521799855993481124743643121256853667840,0.025928782,0.109777409,0.135706191,1395,6025,1490,7181,467,3184,6885,19521,81,1,0.0589621,0.11590620600000001,0.174868306,913,1182,912,1255,0,1760,4272,7343
358,0.23668007500000002,2707,11102,2838,13917,1167,8837,1251,10941,657,13083,26689,47610,771,2194625406280709782900284679483011953809536791347200000,0.037920153000000005,0.194887041,0.23280719400000002,1167,6601,1251,8068,599,2869,6236,17935,130,9,0.079031104,0.132960197,0.21199130100000002,1029,2061,1083,2480,112,1957,4574,8152
762,0.383643061,6259,19564,6417,23552,2618,14034,2700,16206,919,24156,45868,83895,1710,11269139958441032185947542677182517918674967734056989531001717451065480070445486888413657184088358912000,0.054388866,0.215153021,0.26954188700000004,2618,9937,2700,11718,830,4881,11163,29966,223,1,0.10531201400000001,0.121584992,0.226897006,2382,3132,2413,3370,46,3455,8539,16362
